Row.names	log2FoldChange
ENSG00000004139	-0.839540837705801
ENSG00000004399	-0.347610499705342
ENSG00000004487	-0.314753495486933
ENSG00000006016	-0.901865258168218
ENSG00000006283	-0.572397431165875
ENSG00000006459	-0.281527103613846
ENSG00000006611	-1.48813749628633
ENSG00000007264	-1.22658748269293
ENSG00000007314	-1.22383086909483
ENSG00000007516	-0.619570538872609
ENSG00000008382	-0.488296966392668
ENSG00000009694	-4.82918206408854
ENSG00000009709	-0.689548897532927
ENSG00000010292	-0.251068145745377
ENSG00000010318	-0.532320600262164
ENSG00000011028	-0.851905220385034
ENSG00000011052	-1.17326263279475
ENSG00000012211	-0.675088458845184
ENSG00000027075	-0.697385850685417
ENSG00000030066	-0.255468513409725
ENSG00000035115	-0.417852947827933
ENSG00000036448	-1.95865213031272
ENSG00000039123	-0.487535176020007
ENSG00000042286	-1.16855600458501
ENSG00000046889	-0.931226187903212
ENSG00000049239	-0.408369365763045
ENSG00000049246	-0.406181017984804
ENSG00000050426	-0.427480796061367
ENSG00000054179	-1.293979510031
ENSG00000060982	-0.878901281889393
ENSG00000061455	-0.50946892806795
ENSG00000061918	-0.495078487456577
ENSG00000063046	-0.590701048173631
ENSG00000064042	-0.730035297969774
ENSG00000064300	-0.862741888713226
ENSG00000065054	-0.506876909304045
ENSG00000065057	-0.50620067388221
ENSG00000065183	-0.303362737490006
ENSG00000065328	-0.327009704680604
ENSG00000065989	-0.685732445319279
ENSG00000066422	-0.350537055315905
ENSG00000067057	-0.647843177676567
ENSG00000068028	-0.58741717737201
ENSG00000068078	-0.515109861265537
ENSG00000068097	-0.276252457219897
ENSG00000069424	-0.812591207866128
ENSG00000070182	-0.472674915018928
ENSG00000070886	-0.874320609589062
ENSG00000072041	-0.388452160458295
ENSG00000073060	-0.239873324197189
ENSG00000073417	-0.493789831906348
ENSG00000074370	-0.604902303299761
ENSG00000074603	-0.22452464253281
ENSG00000075043	-0.617959791231017
ENSG00000075290	-2.23155316257909
ENSG00000075856	-0.322681385798509
ENSG00000075914	-0.431046142269054
ENSG00000076321	-0.420647546322505
ENSG00000076641	-0.495663370066579
ENSG00000076650	-0.425200249986981
ENSG00000076924	-0.236131598908436
ENSG00000077150	-0.496239240228999
